tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780398755.135461,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.1704319,EP2,169.0,103.0,-180.0,380.0,434.0,-2.0,ESP32
1780398755.2151828,EP2,169.0,103.0,-180.0,380.0,434.0,-2.0,ESP32
1780398755.248086,EP2,169.0,103.0,-180.0,380.0,434.0,-2.0,ESP32
1780398755.2913833,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.3362033,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.3704228,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.4141583,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.4622042,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.4921856,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.5387275,EP2,169.0,102.0,-178.7,380.0,434.0,-2.0,ESP32
1780398755.5838525,EP2,169.0,103.0,-180.0,380.0,434.0,-2.0,ESP32
1780398755.632551,EP2,168.0,104.0,-174.7,380.0,434.0,-2.0,ESP32
1780398755.6598434,EP2,168.0,105.0,-165.0,380.0,434.0,-2.0,ESP32
1780398755.7089121,EP2,168.0,107.0,-156.4,380.0,434.0,-2.0,ESP32
1780398755.7531316,EP2,169.0,109.0,-148.1,380.0,434.0,-2.0,ESP32
1780398755.786148,EP2,170.0,111.0,-142.6,380.0,434.0,-2.0,ESP32
1780398755.831296,EP2,170.0,113.0,-130.2,380.0,434.0,-2.0,ESP32
1780398755.8785448,EP2,171.0,114.0,-120.1,380.0,434.0,-2.0,ESP32
1780398755.9116278,EP2,173.0,115.0,-110.6,380.0,434.0,-2.0,ESP32
1780398755.9570634,EP2,175.0,116.0,-103.1,380.0,434.0,-2.0,ESP32
1780398756.0027182,EP2,177.0,117.0,-92.7,380.0,434.0,-2.0,ESP32
1780398756.0474544,EP2,179.0,117.0,-83.4,380.0,434.0,-2.0,ESP32
1780398756.0805821,EP2,181.0,117.0,-73.7,380.0,434.0,-2.0,ESP32
1780398756.1231263,EP2,182.0,117.0,-63.4,380.0,434.0,-2.0,ESP32
1780398756.1690495,EP2,184.0,117.0,-57.0,380.0,434.0,-2.0,ESP32
1780398756.2033286,EP2,184.0,117.0,-57.0,380.0,434.0,-2.0,ESP32
1780398756.2499995,EP2,188.0,121.0,-54.8,380.0,434.0,-2.0,ESP32
1780398756.2973588,EP2,189.0,123.0,-52.6,380.0,434.0,-2.0,ESP32
1780398756.3297184,EP2,191.0,125.0,-53.7,380.0,434.0,-2.0,ESP32
1780398756.371378,EP2,193.0,127.0,-53.7,380.0,434.0,-2.0,ESP32
1780398756.4206617,EP2,194.0,129.0,-52.4,380.0,434.0,-2.0,ESP32
1780398756.4683409,EP2,196.0,132.0,-52.6,380.0,434.0,-2.0,ESP32
1780398756.4976437,EP2,198.0,134.0,-53.7,380.0,434.0,-2.0,ESP32
1780398756.5392878,EP2,200.0,136.0,-53.7,380.0,434.0,-2.0,ESP32
1780398756.587788,EP2,201.0,138.0,-52.4,380.0,434.0,-2.0,ESP32
1780398756.6181734,EP2,203.0,140.0,-55.2,380.0,434.0,-2.0,ESP32
1780398756.6659346,EP2,205.0,143.0,-53.7,380.0,434.0,-2.0,ESP32
1780398756.712695,EP2,206.0,145.0,-52.4,380.0,434.0,-2.0,ESP32
1780398756.7428124,EP2,208.0,147.0,-55.2,380.0,434.0,-2.0,ESP32
1780398756.7882853,EP2,210.0,150.0,-55.2,380.0,434.0,-2.0,ESP32
1780398756.834015,EP2,211.0,152.0,-54.2,380.0,434.0,-2.0,ESP32
1780398756.8823256,EP2,213.0,154.0,-54.9,380.0,434.0,-2.0,ESP32
1780398756.9125235,EP2,215.0,157.0,-55.2,380.0,434.0,-2.0,ESP32
1780398756.9572506,EP2,217.0,160.0,-55.2,380.0,434.0,-2.0,ESP32
1780398757.0006666,EP2,218.0,162.0,-54.2,380.0,434.0,-2.0,ESP32
1780398757.0319083,EP2,220.0,164.0,-56.0,380.0,434.0,-2.0,ESP32
1780398757.0782895,EP2,221.0,166.0,-54.9,380.0,434.0,-2.0,ESP32
1780398757.1261132,EP2,223.0,168.0,-53.1,380.0,434.0,-2.0,ESP32
1780398757.1701431,EP2,225.0,170.0,-50.5,380.0,434.0,-2.0,ESP32
1780398757.2026472,EP2,227.0,172.0,-50.5,380.0,434.0,-2.0,ESP32
1780398757.2493594,EP2,229.0,174.0,-48.7,380.0,434.0,-2.0,ESP32
1780398757.2955275,EP2,231.0,176.0,-50.4,380.0,434.0,-2.0,ESP32
1780398757.3248737,EP2,233.0,178.0,-50.5,380.0,434.0,-2.0,ESP32
1780398757.3718233,EP2,235.0,181.0,-50.5,380.0,434.0,-2.0,ESP32
1780398757.418032,EP2,237.0,183.0,-51.3,380.0,434.0,-2.0,ESP32
1780398757.4533827,EP2,238.0,184.0,-46.8,380.0,434.0,-2.0,ESP32
1780398757.4967244,EP2,240.0,185.0,-44.1,380.0,434.0,-2.0,ESP32
1780398757.5426166,EP2,242.0,187.0,-42.3,380.0,434.0,-2.0,ESP32
1780398757.5885549,EP2,244.0,188.0,-42.4,380.0,434.0,-2.0,ESP32
1780398757.6226432,EP2,246.0,190.0,-47.6,380.0,434.0,-2.0,ESP32
1780398757.6686206,EP2,246.0,192.0,-48.6,380.0,434.0,-2.0,ESP32
1780398757.7153563,EP2,248.0,194.0,-51.3,380.0,434.0,-2.0,ESP32
1780398757.746254,EP2,249.0,196.0,-51.1,380.0,434.0,-2.0,ESP32
1780398757.7904,EP2,251.0,198.0,-51.9,380.0,434.0,-2.0,ESP32
1780398757.838069,EP2,253.0,201.0,-51.1,380.0,434.0,-2.0,ESP32
1780398757.8667266,EP2,255.0,203.0,-52.1,380.0,434.0,-2.0,ESP32
1780398757.9130175,EP2,257.0,206.0,-52.1,380.0,434.0,-2.0,ESP32
1780398757.960879,EP2,259.0,208.0,-52.1,380.0,434.0,-2.0,ESP32
1780398758.0076904,EP2,260.0,210.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.0372043,EP2,263.0,213.0,-53.1,380.0,434.0,-2.0,ESP32
1780398758.0839713,EP2,264.0,215.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.1280794,EP2,266.0,218.0,-51.1,380.0,434.0,-2.0,ESP32
1780398758.1596963,EP2,268.0,220.0,-51.9,380.0,434.0,-2.0,ESP32
1780398758.205399,EP2,270.0,222.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.2496986,EP2,272.0,225.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.2860408,EP2,274.0,227.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.3321645,EP2,276.0,229.0,-53.6,380.0,434.0,-2.0,ESP32
1780398758.3769357,EP2,278.0,232.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.4225812,EP2,279.0,234.0,-51.7,380.0,434.0,-2.0,ESP32
1780398758.45374,EP2,282.0,237.0,-52.9,380.0,434.0,-2.0,ESP32
1780398758.501149,EP2,283.0,239.0,-51.7,380.0,434.0,-2.0,ESP32
1780398758.5441043,EP2,285.0,242.0,-51.9,380.0,434.0,-2.0,ESP32
1780398758.5740097,EP2,287.0,244.0,-52.7,380.0,434.0,-2.0,ESP32
1780398758.6217666,EP2,288.0,247.0,-51.9,380.0,434.0,-2.0,ESP32
1780398758.6668775,EP2,291.0,249.0,-53.6,380.0,434.0,-2.0,ESP32
1780398758.716049,EP2,292.0,251.0,-53.4,380.0,434.0,-2.0,ESP32
1780398758.7449036,EP2,294.0,254.0,-53.4,380.0,434.0,-2.0,ESP32
1780398758.7928574,EP2,296.0,257.0,-52.7,380.0,434.0,-2.0,ESP32
1780398758.841232,EP2,298.0,259.0,-53.4,380.0,434.0,-2.0,ESP32
1780398758.8708787,EP2,300.0,261.0,-54.1,380.0,434.0,-2.0,ESP32
1780398758.9135125,EP2,302.0,264.0,-54.6,380.0,434.0,-2.0,ESP32
1780398758.9628625,EP2,302.0,264.0,-54.6,380.0,434.0,-2.0,ESP32
1780398758.9915404,EP2,306.0,269.0,-55.3,380.0,434.0,-2.0,ESP32
1780398759.0392203,EP2,306.0,269.0,-55.3,380.0,434.0,-2.0,ESP32
1780398759.0843005,EP2,307.0,271.0,-55.0,380.0,434.0,-2.0,ESP32
1780398759.1185596,EP2,309.0,274.0,-54.3,380.0,434.0,-2.0,ESP32
1780398759.1614318,EP2,313.0,278.0,-55.7,380.0,434.0,-2.0,ESP32
1780398759.2111266,EP2,314.0,281.0,-55.0,380.0,434.0,-2.0,ESP32
1780398759.2539675,EP2,316.0,284.0,-55.0,380.0,434.0,-2.0,ESP32
1780398759.2865438,EP2,318.0,286.0,-55.7,380.0,434.0,-2.0,ESP32
1780398759.3356388,EP2,320.0,289.0,-55.0,380.0,434.0,-2.0,ESP32
1780398759.382237,EP2,322.0,291.0,-55.7,380.0,434.0,-2.0,ESP32
1780398759.4111264,EP2,324.0,294.0,-56.0,380.0,434.0,-2.0,ESP32
1780398759.457587,EP2,325.0,296.0,-54.7,380.0,434.0,-2.0,ESP32
1780398759.5036728,EP2,327.0,299.0,-55.7,380.0,434.0,-2.0,ESP32
1780398759.5356994,EP2,328.0,302.0,-54.1,380.0,434.0,-2.0,ESP32
1780398759.5791411,EP2,330.0,304.0,-54.1,380.0,434.0,-2.0,ESP32
1780398759.628624,EP2,332.0,306.0,-55.4,380.0,434.0,-2.0,ESP32
1780398759.6720674,EP2,333.0,309.0,-54.7,380.0,434.0,-2.0,ESP32
1780398759.7063425,EP2,334.0,311.0,-58.8,380.0,434.0,-2.0,ESP32
1780398759.7507463,EP2,334.0,312.0,-61.9,380.0,434.0,-2.0,ESP32
1780398759.7954829,EP2,335.0,315.0,-63.9,380.0,434.0,-2.0,ESP32
1780398759.828194,EP2,336.0,317.0,-66.5,380.0,434.0,-2.0,ESP32
1780398759.8715887,EP2,337.0,318.0,-63.9,380.0,434.0,-2.0,ESP32
1780398759.9195206,EP2,338.0,319.0,-60.4,380.0,434.0,-2.0,ESP32
1780398759.9500394,EP2,340.0,322.0,-61.4,380.0,434.0,-2.0,ESP32
1780398759.9963758,EP2,340.0,322.0,-61.4,380.0,434.0,-2.0,ESP32
1780398760.0446494,EP2,342.0,326.0,-60.9,380.0,434.0,-2.0,ESP32
1780398760.0920076,EP2,344.0,329.0,-60.4,380.0,434.0,-2.0,ESP32
1780398760.122709,EP2,345.0,331.0,-60.0,380.0,434.0,-2.0,ESP32
1780398760.1683924,EP2,347.0,334.0,-61.4,380.0,434.0,-2.0,ESP32
1780398760.2115006,EP2,348.0,336.0,-60.0,380.0,434.0,-2.0,ESP32
1780398760.2428968,EP2,349.0,339.0,-59.4,380.0,434.0,-2.0,ESP32
1780398760.2916224,EP2,351.0,341.0,-60.4,380.0,434.0,-2.0,ESP32
1780398760.337262,EP2,352.0,344.0,-59.4,380.0,434.0,-2.0,ESP32
1780398760.3702807,EP2,354.0,346.0,-61.9,380.0,434.0,-2.0,ESP32
1780398760.4151123,EP2,355.0,348.0,-61.5,380.0,434.0,-2.0,ESP32
1780398760.4603996,EP2,356.0,351.0,-60.9,380.0,434.0,-2.0,ESP32
1780398760.5067923,EP2,357.0,354.0,-60.9,380.0,434.0,-2.0,ESP32
1780398760.539577,EP2,359.0,356.0,-63.4,380.0,434.0,-2.0,ESP32
1780398760.5887592,EP2,360.0,359.0,-63.9,380.0,434.0,-2.0,ESP32
1780398760.6187735,EP2,361.0,361.0,-64.9,380.0,434.0,-2.0,ESP32
1780398760.6643248,EP2,362.0,364.0,-64.9,380.0,434.0,-2.0,ESP32
1780398760.7104268,EP2,363.0,366.0,-66.4,380.0,434.0,-2.0,ESP32
1780398760.742802,EP2,364.0,368.0,-66.4,380.0,434.0,-2.0,ESP32
1780398760.788466,EP2,365.0,371.0,-65.9,380.0,434.0,-2.0,ESP32
1780398760.834486,EP2,366.0,373.0,-67.4,380.0,434.0,-2.0,ESP32
1780398760.881417,EP2,366.0,375.0,-66.8,380.0,434.0,-2.0,ESP32
1780398760.9114296,EP2,367.0,378.0,-66.4,380.0,434.0,-2.0,ESP32
1780398760.9583871,EP2,367.0,379.0,-70.9,380.0,434.0,-2.0,ESP32
1780398761.0024407,EP2,366.0,380.0,-74.4,380.0,434.0,-2.0,ESP32
1780398761.0342429,EP2,366.0,381.0,-80.2,380.0,434.0,-2.0,ESP32
1780398761.0798368,EP2,365.0,383.0,-81.1,380.0,434.0,-2.0,ESP32
1780398761.1264453,EP2,365.0,385.0,-84.5,380.0,434.0,-2.0,ESP32
1780398761.1740227,EP2,365.0,386.0,-84.5,380.0,434.0,-2.0,ESP32
1780398761.2055213,EP2,366.0,386.0,-81.1,380.0,434.0,-2.0,ESP32
1780398761.2494333,EP2,367.0,386.0,-76.8,380.0,434.0,-2.0,ESP32
1780398761.2951553,EP2,368.0,387.0,-75.7,380.0,434.0,-2.0,ESP32
1780398761.3267992,EP2,368.0,387.0,-71.6,380.0,434.0,-2.0,ESP32
1780398761.3717108,EP2,369.0,388.0,-69.8,380.0,434.0,-2.0,ESP32
1780398761.4201744,EP2,370.0,389.0,-66.4,380.0,434.0,-2.0,ESP32
1780398761.4680858,EP2,371.0,390.0,-65.4,380.0,434.0,-2.0,ESP32
1780398761.4983432,EP2,372.0,391.0,-65.4,380.0,434.0,-2.0,ESP32
1780398761.544634,EP2,373.0,392.0,-65.4,380.0,434.0,-2.0,ESP32
1780398761.5881355,EP2,374.0,393.0,-63.4,380.0,434.0,-2.0,ESP32
1780398761.6207695,EP2,376.0,396.0,-61.5,380.0,434.0,-2.0,ESP32
1780398761.6648257,EP2,376.0,397.0,-59.6,380.0,434.0,-2.0,ESP32
1780398761.7112205,EP2,378.0,399.0,-60.5,380.0,434.0,-2.0,ESP32
1780398761.7599716,EP2,379.0,400.0,-61.0,380.0,434.0,-2.0,ESP32
1780398761.7890997,EP2,380.0,402.0,-61.0,380.0,434.0,-2.0,ESP32
1780398761.8374069,EP2,380.0,404.0,-62.0,380.0,434.0,-2.0,ESP32
1780398761.8802125,EP2,381.0,407.0,-63.9,380.0,434.0,-2.0,ESP32
1780398761.9136028,EP2,381.0,408.0,-65.8,380.0,434.0,-2.0,ESP32
1780398761.9600303,EP2,381.0,409.0,-70.6,380.0,434.0,-2.0,ESP32
1780398762.0063925,EP2,380.0,411.0,-73.3,380.0,434.0,-2.0,ESP32
1780398762.037989,EP2,379.0,412.0,-76.8,380.0,434.0,-2.0,ESP32
1780398762.0774715,EP2,379.0,413.0,-80.2,380.0,434.0,-2.0,ESP32
1780398762.1284163,EP2,378.0,414.0,-83.5,380.0,434.0,-2.0,ESP32
1780398762.1712394,EP2,378.0,414.0,-83.5,380.0,434.0,-2.0,ESP32
1780398762.2010295,EP2,377.0,416.0,-90.0,380.0,434.0,-2.0,ESP32
1780398762.2469404,EP2,376.0,416.0,-90.0,380.0,434.0,-2.0,ESP32
1780398762.296226,EP2,376.0,417.0,-92.1,380.0,434.0,-2.0,ESP32
1780398762.3261764,EP2,375.0,418.0,-92.2,380.0,434.0,-2.0,ESP32
1780398762.3717265,EP2,375.0,419.0,-92.2,380.0,434.0,-2.0,ESP32
1780398762.4165978,EP2,376.0,419.0,-93.2,380.0,434.0,-2.0,ESP32
1780398762.449216,EP2,376.0,420.0,-90.0,380.0,434.0,-2.0,ESP32
1780398762.4963782,EP2,377.0,420.0,-90.0,380.0,434.0,-2.0,ESP32
1780398762.5417652,EP2,377.0,421.0,-87.8,380.0,434.0,-2.0,ESP32
1780398762.5909646,EP2,377.0,421.0,-84.6,380.0,434.0,-2.0,ESP32
1780398762.6204057,EP2,378.0,421.0,-82.6,380.0,434.0,-2.0,ESP32
1780398762.6656284,EP2,379.0,422.0,-80.4,380.0,434.0,-2.0,ESP32
1780398762.7117462,EP2,379.0,422.0,-76.0,380.0,434.0,-2.0,ESP32
1780398762.7418456,EP2,380.0,422.0,-73.9,380.0,434.0,-2.0,ESP32
1780398762.7879965,EP2,382.0,422.0,-69.4,380.0,434.0,-2.0,ESP32
1780398762.8369753,EP2,383.0,421.0,-63.9,380.0,434.0,-2.0,ESP32
1780398762.8825264,EP2,384.0,420.0,-59.0,380.0,434.0,-2.0,ESP32
1780398762.9126494,EP2,384.0,419.0,-54.0,380.0,434.0,-2.0,ESP32
1780398762.9611359,EP2,385.0,418.0,-50.2,380.0,434.0,-2.0,ESP32
1780398763.0051131,EP2,386.0,417.0,-45.0,380.0,434.0,-2.0,ESP32
1780398763.0339756,EP2,387.0,417.0,-39.7,380.0,434.0,-2.0,ESP32
1780398763.0810814,EP2,387.0,416.0,-35.2,380.0,434.0,-2.0,ESP32
1780398763.128384,EP2,388.0,415.0,-30.0,380.0,434.0,-2.0,ESP32
1780398763.161349,EP2,388.0,415.0,-30.0,380.0,434.0,-2.0,ESP32
1780398763.204089,EP2,388.0,411.0,-20.2,380.0,434.0,-2.0,ESP32
1780398763.2550716,EP2,388.0,410.0,-13.5,380.0,434.0,-2.0,ESP32
1780398763.2812493,EP2,388.0,409.0,-7.8,380.0,434.0,-2.0,ESP32
1780398763.3289685,EP2,388.0,408.0,-3.4,380.0,434.0,-2.0,ESP32
1780398763.3815768,EP2,387.0,407.0,1.1,380.0,434.0,-2.0,ESP32
